lane_id,A,B,C,x1,y1,x2,y2
1,-0.9495508458390071,-0.3136131233963693,1687.4215448611146,921,2592,957,2483
2,-0.9494461995446949,-0.31392979178493946,1701.1242870890678,935,2591,976,2467
3,-0.9496887635303413,-0.3131952305259636,1686.8998208286973,933,2557,995,2369
4,0.8578869234620982,-0.5138385218653192,542.2694306881804,921,2593,1036,2785
5,-0.9499257899463774,-0.31247558879815046,1698.3923182828114,957,2526,1007,2374
6,0.8563517218488502,-0.5163929980998092,537.763061671173,926,2577,1046,2776
7,-0.7071067811865475,-0.7071067811865475,2389.3138136293437,988,2391,1136,2243
8,-0.7071067811865476,-0.7071067811865476,2390.020920410531,987,2393,1138,2242
9,-0.7071067811865476,-0.7071067811865476,2376.5858915679864,998,2363,1130,2231
10,0.5444710084860843,-0.8387796617218055,1757.8025777483304,1045,2774,1159,2848
11,0.543646681887744,-0.8393141755459907,1773.7283697779937,1037,2785,1389,3013
12,0.5426155661680762,-0.8399811589268523,1762.801627622031,1126,2826,1400,3003
13,-0.3606049742271903,-0.9327186352607133,2488.018291169149,1129,2231,1398,2127
14,-0.35876631739961157,-0.9334274098715557,2500.6615558153862,1137,2242,1431,2129
15,0.5435578781920836,-0.8393716894530814,1773.4777519624975,1058,2798,1512,3092
16,-0.3592040256376662,-0.9332590572642169,2500.0667325320937,1148,2237,1426,2130
17,0.5431424787082074,-0.8396405467952965,1760.377251027475,1259,2911,1579,3118
18,0.5432512781572743,-0.8395701571521511,1774.0117420624954,1343,2982,1683,3202
19,0.5430315918157278,-0.8397122663687109,1760.0951868698908,1455,3037,1772,3242
20,-0.1927017082826935,-0.9812573829658209,2351.1510072083506,1421,2117,1808,2041
21,0.5431218482174746,-0.8396538917844866,1773.9701760453602,1500,3083,1769,3257
22,-0.19146983026470632,-0.9814984992848459,2362.837752765173,1427,2129,1996,2018
23,-0.1916104033344794,-0.9814710659688335,2349.2989622078667,1540,2093,2001,2003
24,0.5417013337270077,-0.8405710350936327,1778.79774510881,1688,3204,1868,3320
25,-0.19264179569960369,-0.9812691468448563,2363.9255351981838,1671,2081,1997,2017
